track_id,name,artist,songwriters,duration,genres,album,created_at,updated_at
70095,wife,Maurice Oneill,Linda Blake,44:59,it,soon,2023-11-17T20:06:05.481009,2024-10-16T12:31:32.510463
44757,animal,Daniel Gutierrez,Julie Kim,49:06,feeling,coach,2024-08-14T11:44:59.974504,2024-02-19T13:07:37.436231
42845,job,Jacob Wilson,Monica Wagner,17:47,it,movie,2023-03-18T13:08:27.860379,2024-04-09T13:30:04.909678
63155,environment,Adam Hunt,Julia Evans,47:15,administration,speak,2024-03-02T01:41:22.152000,2023-12-17T07:49:55.476068
54258,feeling,Thomas Carey,Meghan Reyes,45:57,forget,difficult,2024-05-08T02:05:21.934672,2024-01-03T22:37:15.849499
12830,rock,Lisa Riley,Carrie Terrell,03:15,by,full,2023-03-21T02:42:48.327204,2024-09-29T08:32:09.056926
8624,experience,Jasmine Marquez,Diana Lowe,39:59,debate,whom,2024-04-29T10:49:24.078295,2024-02-01T01:35:59.778132
6274,four,Joseph Olson,Michael Bailey,08:23,garden,resource,2023-04-30T03:07:13.485362,2024-04-05T21:43:42.919203
55449,anything,David Mitchell,Travis Stewart,49:29,everything,crime,2024-04-23T12:22:01.590708,2024-04-09T10:11:09.131761
65934,debate,Claire Frye,Michael Williams,21:40,rest,produce,2024-01-04T20:01:46.793359,2024-07-22T08:32:24.103976
96608,north,Jessica Jackson,Amy Knight,22:45,daughter,while,2022-12-25T08:56:17.603426,2024-05-17T21:24:14.274382
60358,history,Kayla Valdez,Haley Meadows,36:19,book,probably,2024-07-31T08:52:41.336362,2024-03-31T13:37:37.382537
97293,painting,Robin Banks,Theodore Morgan,37:08,town,region,2024-05-04T06:58:33.084409,2024-08-15T20:12:13.987549
95660,avoid,James Coffey,Christopher Franklin,43:27,concern,today,2024-07-15T00:31:05.589105,2023-11-24T08:56:37.268187
63312,order,Patricia Carroll,Jennifer Roberts,34:08,black,key,2024-09-24T16:02:44.705337,2024-01-06T17:58:04.078183
5436,apply,Holly Martin,April Beck,16:28,agreement,us,2024-10-30T23:53:13.606675,2024-03-01T21:44:12.984475
32928,share,Kristin Strong,Darius Scott,41:47,recent,around,2024-01-08T20:17:11.556625,2023-11-09T07:51:46.732382
75522,board,Deborah Murray,Andrew Morris,25:53,then,direction,2024-03-04T16:22:07.916416,2024-10-09T15:17:00.019840
99895,marriage,Donna Gray,Thomas Miller,04:33,old,old,2023-10-10T22:23:51.546532,2024-10-12T14:21:44.856552
85667,for,Alejandro Valdez,Kevin Tucker,47:40,operation,experience,2024-02-10T08:24:41.435570,2024-03-10T18:26:51.021311
45057,sound,Kim Johnson,Stephen Beck,25:37,seek,watch,2024-08-13T01:13:48.591224,2024-10-10T17:46:30.738482
64223,college,Nicole Gonzalez,Christina Johnson,49:24,first,include,2023-04-27T14:26:27.270077,2023-12-05T14:44:58.702049
70969,executive,Gregory Allen,Jeremy Smith,35:05,hospital,enter,2023-08-10T19:20:33.669273,2023-12-26T01:05:21.904017
34053,Democrat,Gilbert Davis,Stephanie Johnston,43:40,daughter,of,2023-12-18T09:47:20.889570,2024-04-13T23:42:22.888614
60583,war,Jessica Lambert,Kirsten Cox,25:26,American,audience,2024-05-09T22:29:28.337787,2024-11-06T00:58:35.553413
49548,side,Amanda Mccann,Julia Turner,14:43,once,fight,2023-07-13T01:29:36.856109,2024-05-05T10:12:31.313978
16990,sort,James Lin,Robert Payne,00:36,station,pretty,2024-05-07T07:32:52.349465,2024-11-01T07:50:09.821545
22321,friend,Robin Arias,Mallory Hutchinson,27:35,artist,provide,2023-07-28T20:35:04.034849,2024-05-04T11:23:14.914718
76043,record,Timothy Porter,Michael Dalton,07:25,suddenly,this,2023-12-16T05:11:09.281054,2024-04-02T07:59:11.819427
58449,could,Felicia Smith,Joshua Flores,37:25,nation,hour,2024-07-28T12:57:34.869292,2024-03-22T09:38:30.022941
17098,Democrat,Brian Barry,Patricia Henderson,49:14,outside,to,2024-08-16T23:09:58.757961,2024-10-29T16:26:25.964159
1747,college,Brittany Burke,Jennifer Woods,55:42,population,floor,2024-10-01T10:39:04.389407,2024-01-08T07:35:30.895198
21527,east,Lori Martin,Michael Mcintosh,25:30,name,consider,2024-10-24T10:36:37.287575,2024-06-19T17:28:20.332841
29045,early,Cole West,Jeffery Farmer,14:28,spring,significant,2023-02-24T17:45:42.606856,2024-04-27T04:21:29.581294
99989,rather,Brooke Ward,Susan Garza,30:53,part,agent,2023-08-17T17:40:13.775114,2024-06-01T11:08:01.730087
80262,herself,Michael Williams,Elizabeth Morgan,33:26,will,south,2023-03-27T00:49:42.294211,2024-08-30T00:32:37.295953
8076,research,Jason Mccarthy,Laura Murphy,57:40,line,including,2024-11-04T02:54:03.462621,2024-04-12T05:28:41.513195
78334,something,Linda Baker,David Hopkins,31:48,best,because,2023-09-25T20:40:00.492006,2024-07-08T10:54:47.285718
57223,guess,Beth Nichols,Brandy Li,06:06,final,others,2024-03-03T16:32:58.218593,2023-12-02T10:22:42.490716
28943,discuss,Aimee Flowers,Melanie Perez,54:49,concern,court,2023-10-20T21:40:51.565637,2024-10-07T21:20:11.814149
60386,draw,Jennifer Gordon,Jessica Norton,13:05,executive,air,2023-03-09T15:14:26.394734,2023-12-08T16:36:53.493497
71031,style,Laura Castillo,Jeffrey Salas,13:13,now,money,2024-04-16T13:24:39.970373,2024-06-14T14:10:35.047509
36972,fact,Elizabeth Flowers,Justin Brown,23:56,plant,station,2023-12-01T14:01:31.202686,2024-05-20T05:01:36.735317
56258,read,Eddie Roy,Travis Rangel,38:31,up,even,2024-10-05T10:26:33.041540,2024-04-06T12:42:45.028066
54149,become,Charles Williams,Samuel Clarke,14:05,tend,live,2023-10-16T14:45:18.483394,2024-05-11T07:53:37.778413
58635,probably,Christopher Williams,Michelle Brown,03:14,fire,six,2023-08-18T21:44:15.412027,2024-04-06T07:23:57.876067
86439,building,Erin Richardson,Nicholas Welch,33:13,visit,project,2023-05-12T02:58:24.421818,2024-02-02T08:49:48.416796
55046,program,Adam Gill,Kimberly Cox,26:41,two,federal,2023-09-19T17:42:32.968539,2024-04-04T14:05:35.364427
37455,hand,Joanne Anderson,Tammy Ponce,49:14,magazine,there,2024-07-19T02:34:40.965124,2024-10-29T17:06:40.849939
87438,involve,Jeffery Jones,Mary Ware,07:03,they,level,2023-02-06T19:55:19.666616,2024-05-20T07:13:53.230850
68681,best,William Garza,Leroy Ramirez,23:21,meet,minute,2023-08-07T18:32:46.953200,2024-06-05T22:26:41.518012
98572,gas,Thomas Mcguire,Whitney Young,17:37,wind,these,2024-09-27T23:59:34.164305,2024-09-11T09:02:48.616834
14101,should,Troy Fox,Allison Sanchez,25:49,year,meet,2024-03-08T21:57:04.591578,2024-04-06T02:15:35.993878
4489,share,Benjamin Miller,Richard Alexander,52:50,responsibility,ability,2024-08-29T13:14:52.022506,2024-02-26T14:17:15.915691
3767,common,Patrick Richardson,Lisa Lewis,29:11,stay,me,2023-06-18T17:43:44.289364,2024-05-06T09:39:49.111894
72610,sport,Mark Martin,Susan Young,36:31,try,listen,2023-09-19T10:05:20.589481,2024-10-29T12:26:23.065820
25432,others,Jennifer Smith,Bryan White,29:15,music,sense,2024-10-16T15:55:32.356033,2024-08-03T07:45:46.451738
35758,blood,Hunter Rivera,Elizabeth Norman,50:12,before,time,2023-04-18T13:18:52.907716,2024-08-21T14:50:27.817389
21991,people,Tanya Lawrence,Mary Williams,05:06,phone,make,2024-05-29T14:54:35.778435,2024-03-12T21:50:20.031242
12214,dinner,Dustin Campos,Larry Smith,41:38,room,which,2023-09-24T07:17:39.111466,2023-12-27T12:06:04.578853
29203,another,Alexandria Yang,Linda Brown,19:47,job,fund,2023-01-28T18:43:29.006259,2024-05-13T18:58:58.699409
28882,morning,Alexander Smith,Mr. John Williams,59:39,technology,happen,2024-01-19T23:08:41.534111,2023-11-26T08:55:36.554382
46370,so,Jeffrey Santiago,Mary Marsh,22:37,again,travel,2023-07-18T23:27:39.637737,2024-08-11T01:38:38.767645
53961,anyone,David Stevens,Gina Martin,07:14,seat,show,2024-05-26T04:36:25.754724,2024-11-04T23:52:53.856615
95553,color,Clifford Valencia,Wesley Macdonald,53:54,recently,receive,2023-09-28T08:06:55.957256,2024-08-05T07:23:51.427447
93017,important,Jennifer Duran,Oscar Hall,46:28,newspaper,individual,2023-11-13T13:54:45.899113,2024-02-20T00:19:27.344294
23838,floor,Mrs. Julia Wilson,William Gardner,31:47,growth,already,2023-07-20T14:34:20.192439,2024-02-22T13:50:49.299919
83141,trade,James Rasmussen,Daniel Hernandez,45:46,actually,last,2022-11-20T14:58:33.880029,2024-07-12T15:45:01.225590
68414,former,Cynthia Grimes,Mike Reed,34:35,they,a,2023-06-05T22:05:22.665169,2024-08-08T17:04:05.972849
63018,notice,Carl Heath,Carly Kim,10:24,space,wait,2023-03-24T17:09:30.817959,2023-11-12T18:32:01.119974
25353,music,Kimberly Gardner,Brandon Pierce,39:58,second,onto,2024-07-23T12:21:01.497094,2024-08-14T07:01:33.769287
79291,eat,Jason Johnson,Robert Warren,24:03,fire,assume,2023-12-01T20:32:15.376520,2024-01-16T15:58:25.760953
62328,prove,Christopher Foster,Dennis White,23:14,head,reveal,2023-02-15T09:42:20.753762,2024-07-16T14:27:15.043602
6533,management,Michelle Whitney,Jasmine Parker,43:35,enough,administration,2023-10-25T06:11:01.655886,2023-12-02T07:25:20.035519
41232,whether,Joanne Lewis,Jesse Young,34:20,machine,be,2023-11-28T22:15:33.534775,2024-10-20T22:18:57.994133
16167,behind,Kenneth Benson,Daniel Dawson,16:09,shoulder,avoid,2023-12-31T00:51:15.873870,2024-07-04T18:16:56.921403
60146,law,Mrs. Michele Alvarado,Bonnie Wright DVM,49:19,so,hand,2024-09-12T23:04:23.306004,2024-03-16T08:13:46.247306
74789,whether,Mr. Kyle Parker,Nathan Leon,33:07,serve,reason,2023-07-18T01:22:00.267813,2023-12-15T05:20:06.819715
75849,all,Crystal Cross,Tommy Smith,57:04,know,response,2023-12-26T08:43:27.825713,2024-07-22T09:04:26.746626
8230,old,Andrea Mendez,Laura Gibbs,10:16,sort,compare,2023-04-03T19:28:15.995082,2024-08-08T22:51:31.438345
